Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
17	:	1729803278.846	     4.370	0	78	0	0	bash scripts/check.sh 24 short
20	:	1729803278.854	     4.949	0	78	0	0	bash scripts/check.sh 28 short
12	:	1729803278.834	     5.508	0	982	0	0	bash scripts/check.sh 18 long
6	:	1729803278.818	     6.211	0	75	0	0	bash scripts/check.sh 9 long
15	:	1729803278.841	     6.680	0	78	0	0	bash scripts/check.sh 22 long
11	:	1729803278.832	     6.872	0	1676	0	0	bash scripts/check.sh 16 short
5	:	1729803278.816	     7.282	0	75	0	0	bash scripts/check.sh 8 long
9	:	1729803278.826	     7.427	0	1403	0	0	bash scripts/check.sh 13 long
18	:	1729803278.849	     7.615	0	78	0	0	bash scripts/check.sh 25 long
7	:	1729803278.821	     7.978	0	78	0	0	bash scripts/check.sh 10 long
13	:	1729803278.836	     8.799	0	4314	0	0	bash scripts/check.sh 19 long
3	:	1729803278.812	     9.874	0	3144	0	0	bash scripts/check.sh 6 long
8	:	1729803278.823	    10.081	0	2723	0	0	bash scripts/check.sh 11 long
24	:	1729803285.034	     4.773	0	78	0	0	bash scripts/check.sh 34 short
29	:	1729803286.478	     4.034	0	78	0	0	bash scripts/check.sh 39 long
22	:	1729803283.808	     7.233	0	78	0	0	bash scripts/check.sh 32 long
28	:	1729803286.259	     5.131	0	78	0	0	bash scripts/check.sh 38 long
23	:	1729803284.347	     7.103	0	78	0	0	bash scripts/check.sh 33 long
4	:	1729803278.814	    12.823	0	974	0	0	bash scripts/check.sh 7 long
21	:	1729803283.219	     9.725	0	78	0	0	bash scripts/check.sh 29 long
16	:	1729803278.844	    15.539	0	78	0	0	bash scripts/check.sh 23 long
14	:	1729803278.839	    15.742	0	75533	0	0	bash scripts/check.sh 20 short
27	:	1729803286.120	     8.620	0	1142	0	0	bash scripts/check.sh 37 long
19	:	1729803278.852	    17.775	0	99948	0	0	bash scripts/check.sh 27 short
1	:	1729803278.809	    17.855	0	5201	0	0	bash scripts/check.sh 1 long
2	:	1729803278.811	    24.261	0	190618	0	0	bash scripts/check.sh 4 short
10	:	1729803278.829	    27.338	0	220868	0	0	bash scripts/check.sh 14 long
25	:	1729803285.525	    27.685	0	273799	0	0	bash scripts/check.sh 35 long
26	:	1729803285.710	    30.059	0	299200	0	0	bash scripts/check.sh 36 long
